Date,Adj Close,name,code,dollar,Dubai,Brent,Oman,WTI
2020-06-05,3430.0,유니온머티리얼,047400,1217.4,40.63,42.3,40.68,39.55
2020-06-08,3525.0,유니온머티리얼,047400,1213.1,42.94,40.8,43.04,38.19
2020-06-09,3465.0,유니온머티리얼,047400,1204.2,40.85,41.18,40.88,38.94
2020-06-10,3410.0,유니온머티리얼,047400,1197.7,40.91,41.73,40.9,39.6
2020-06-11,3510.0,유니온머티리얼,047400,1194.4,40.6,38.55,40.61,36.34
2020-06-12,3405.0,유니온머티리얼,047400,1192.8,38.42,38.73,38.45,36.26
2020-06-15,3030.0,유니온머티리얼,047400,1206.6,38.35,39.72,38.35,37.12
2020-06-16,3145.0,유니온머티리얼,047400,1210.8,40.29,40.96,40.27,38.38
2020-06-17,3330.0,유니온머티리얼,047400,1206.6,41.46,40.71,41.5,37.96
2020-06-18,3505.0,유니온머티리얼,047400,1214.5,41.09,41.51,41.14,38.84
2020-06-19,3470.0,유니온머티리얼,047400,1213.0,42.95,42.19,42.96,39.75
2020-06-22,3440.0,유니온머티리얼,047400,1212.0,42.32,43.08,42.32,40.46
2020-06-23,3660.0,유니온머티리얼,047400,1213.2,43.39,42.63,43.38,40.37
2020-06-24,3405.0,유니온머티리얼,047400,1210.1,42.49,40.31,42.49,38.01
2020-06-25,3530.0,유니온머티리얼,047400,1202.9,40.58,41.05,40.58,38.72
2020-06-26,3710.0,유니온머티리얼,047400,1205.2,42.02,41.02,42.02,38.49
2020-06-29,4030.0,유니온머티리얼,047400,1198.6,40.63,41.71,40.64,39.7
2020-06-30,4115.0,유니온머티리얼,047400,1200.7,42.07,41.15,42.12,39.27
2020-07-01,3920.0,유니온머티리얼,047400,1198.5,42.7,42.03,42.73,39.82
2020-07-02,3815.0,유니온머티리얼,047400,1201.6,42.85,43.14,42.84,40.65
2020-07-06,3860.0,유니온머티리얼,047400,1200.4,43.66,43.1,43.72,40.63
2020-07-07,4045.0,유니온머티리얼,047400,1196.8,42.9,43.08,43.08,40.62
2020-07-08,4020.0,유니온머티리얼,047400,1192.9,43.34,43.29,43.55,40.9
2020-07-09,3845.0,유니온머티리얼,047400,1195.8,43.63,42.35,43.73,39.62
2020-07-10,3875.0,유니온머티리얼,047400,1194.5,43.63,42.35,43.73,39.62
2020-07-13,3885.0,유니온머티리얼,047400,1202.4,43.38,42.72,43.45,40.1
2020-07-14,3930.0,유니온머티리얼,047400,1200.3,42.78,42.9,42.91,40.29
2020-07-15,4175.0,유니온머티리얼,047400,1206.4,44.18,43.79,44.17,41.2
2020-07-16,4020.0,유니온머티리얼,047400,1200.7,43.37,43.37,43.63,40.75
2020-07-17,3950.0,유니온머티리얼,047400,1204.1,42.86,43.14,43.16,40.59
2020-07-20,3800.0,유니온머티리얼,047400,1205.7,42.72,43.28,42.87,40.81
2020-07-21,3700.0,유니온머티리얼,047400,1203.7,43.87,44.32,44.02,41.96
2020-07-22,3695.0,유니온머티리얼,047400,1198.1,44.12,44.29,44.31,41.9
2020-02-14,57000.0,두산2우B,000157,1181.5,55.23,57.32,55.73,52.05
2020-02-18,58300.0,두산2우B,000157,1182.2,55.11,57.75,55.56,52.05
2020-02-19,58400.0,두산2우B,000157,1188.1,56.39,59.12,56.87,53.29
2020-02-20,58000.0,두산2우B,000157,1190.8,56.92,59.31,57.52,53.78
2020-02-21,56500.0,두산2우B,000157,1197.0,56.41,58.5,57.3,53.38
2020-02-24,55600.0,두산2우B,000157,1205.6,54.64,56.3,55.16,51.43
2020-02-25,56300.0,두산2우B,000157,1217.7,54.48,54.95,55.07,49.9
2020-02-26,58900.0,두산2우B,000157,1212.7,52.28,53.43,52.52,48.73
2020-02-27,58000.0,두산2우B,000157,1216.8,50.62,52.18,50.99,47.09
2020-02-28,56100.0,두산2우B,000157,1215.9,49.05,50.52,49.25,44.76
2020-03-02,57200.0,두산2우B,000157,1215.3,50.58,51.9,50.87,46.75
2020-03-03,55900.0,두산2우B,000157,1200.3,51.72,51.86,51.91,47.18
2020-03-04,56200.0,두산2우B,000157,1191.4,50.81,51.13,51.11,46.78
2020-03-05,57200.0,두산2우B,000157,1186.4,50.78,49.99,50.93,45.9
2020-03-06,56900.0,두산2우B,000157,1185.0,48.58,45.27,48.87,41.28
2020-03-09,56900.0,두산2우B,000157,1191.4,32.87,34.36,33.16,31.13
2020-03-10,55700.0,두산2우B,000157,1201.4,34.18,37.22,34.22,34.36
2020-03-11,47000.0,두산2우B,000157,1196.7,34.58,35.79,34.78,32.98
2020-03-12,47000.0,두산2우B,000157,1192.8,32.69,33.22,32.96,31.5
2020-03-13,33950.0,두산2우B,000157,1202.0,33.93,33.85,34.06,31.73
2020-03-16,35000.0,두산2우B,000157,1222.2,31.49,30.05,31.48,28.7
2020-03-17,34000.0,두산2우B,000157,1219.6,30.83,28.73,30.97,26.95
2020-03-18,33850.0,두산2우B,000157,1241.2,28.26,24.88,28.71,20.37
2020-03-19,29200.0,두산2우B,000157,1237.8,25.82,28.47,27.76,25.22
2020-03-20,27300.0,두산2우B,000157,1280.1,28.67,26.98,29.41,22.43
2020-03-23,25800.0,두산2우B,000157,1254.1,24.6,27.03,25.34,23.36
2020-03-24,28500.0,두산2우B,000157,1274.6,26.64,27.15,27.02,24.01
2020-03-25,35600.0,두산2우B,000157,1256.0,27.05,27.39,27.32,24.49
2020-03-26,34600.0,두산2우B,000157,1230.7,25.74,26.34,25.74,22.6
2020-03-27,38100.0,두산2우B,000157,1227.9,25.04,24.93,25.08,21.51
2020-03-30,35000.0,두산2우B,000157,1212.4,23.24,22.76,23.25,20.09
2020-03-31,32300.0,두산2우B,000157,1222.6,23.43,22.74,23.43,20.48
2020-04-01,32550.0,두산2우B,000157,1220.0,21.23,24.74,21.41,20.31
2020-04-02,32700.0,두산2우B,000157,1222.2,21.55,29.94,21.57,25.32
